Epoch: 934/1001, Batch: 9/35, Loss: 1.496920, img_l1_loss: 0.113096, img_pt_c_loss: 0.046254, svg_total_loss: 0.681456, svg_cmd_loss: 0.033757, svg_args_loss: 0.560215, svg_smooth_loss: 0.085164, svg_aux_loss: 0.002321, lr: 0.000155, Step: 32700
Epoch: 935/1001, Batch: 24/35, Loss: 1.462775, img_l1_loss: 0.127196, img_pt_c_loss: 0.044999, svg_total_loss: 0.662696, svg_cmd_loss: 0.021358, svg_args_loss: 0.555146, svg_smooth_loss: 0.085342, svg_aux_loss: 0.000850, lr: 0.000155, Step: 32750
Epoch: 937/1001, Batch: 4/35, Loss: 1.414631, img_l1_loss: 0.097828, img_pt_c_loss: 0.041027, svg_total_loss: 0.654736, svg_cmd_loss: 0.028792, svg_args_loss: 0.530886, svg_smooth_loss: 0.093674, svg_aux_loss: 0.001383, lr: 0.000154, Step: 32800
Epoch: 938/1001, Batch: 19/35, Loss: 1.386933, img_l1_loss: 0.101678, img_pt_c_loss: 0.045419, svg_total_loss: 0.629448, svg_cmd_loss: 0.051098, svg_args_loss: 0.499620, svg_smooth_loss: 0.077145, svg_aux_loss: 0.001585, lr: 0.000154, Step: 32850
Epoch: 939/1001, Batch: 34/35, Loss: 1.261498, img_l1_loss: 0.110547, img_pt_c_loss: 0.045185, svg_total_loss: 0.572069, svg_cmd_loss: 0.015417, svg_args_loss: 0.458798, svg_smooth_loss: 0.096742, svg_aux_loss: 0.001112, lr: 0.000153, Step: 32900
Epoch: 941/1001, Batch: 14/35, Loss: 1.409751, img_l1_loss: 0.096994, img_pt_c_loss: 0.040672, svg_total_loss: 0.650485, svg_cmd_loss: 0.030000, svg_args_loss: 0.525955, svg_smooth_loss: 0.093696, svg_aux_loss: 0.000834, lr: 0.000152, Step: 32950
Epoch: 942/1001, Batch: 29/35, Loss: 1.199251, img_l1_loss: 0.097854, img_pt_c_loss: 0.041525, svg_total_loss: 0.548891, svg_cmd_loss: 0.029872, svg_args_loss: 0.442964, svg_smooth_loss: 0.073709, svg_aux_loss: 0.002346, lr: 0.000152, Step: 33000
Epoch: 944/1001, Batch: 9/35, Loss: 1.384861, img_l1_loss: 0.108866, img_pt_c_loss: 0.046347, svg_total_loss: 0.622035, svg_cmd_loss: 0.039010, svg_args_loss: 0.491372, svg_smooth_loss: 0.089450, svg_aux_loss: 0.002203, lr: 0.000151, Step: 33050
Epoch: 945/1001, Batch: 24/35, Loss: 1.460003, img_l1_loss: 0.122292, img_pt_c_loss: 0.051978, svg_total_loss: 0.631979, svg_cmd_loss: 0.039833, svg_args_loss: 0.500901, svg_smooth_loss: 0.090595, svg_aux_loss: 0.000650, lr: 0.000150, Step: 33100
Epoch: 947/1001, Batch: 4/35, Loss: 1.205527, img_l1_loss: 0.097190, img_pt_c_loss: 0.043886, svg_total_loss: 0.541546, svg_cmd_loss: 0.014357, svg_args_loss: 0.437314, svg_smooth_loss: 0.089210, svg_aux_loss: 0.000665, lr: 0.000149, Step: 33150
